1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
23556,Main Hand,Weapon,Mace,Hand of Eternity,105,70,Epic,https://tbc.wowhead.com/item=23556,NA,111.4787,349.6,615.7,406.6,365.809,1.24,0,0,326.5,11.66,165.904865,287.94367,13.128,10.6,7.482,11.92,85.03,87.4,332.25,6.71,321.0848,337.1,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,317,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,43.7,35,131,1.9,Blacksmithing,Crafted,1,NA,-162.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24361,Main Hand,Weapon,Sword,Spellfire Longsword,91,62,Rare,https://tbc.wowhead.com/item=24361,NA,120.8414,331.2,601.6,397.2,24.392,64.56,0,0,4.2,73.32,157.17303,316.78224,42.116,90.18,70.127,89.275,132.76,89.4752,7,63.46,339.2296,6.72,15,14,NULL,NULL,NULL,NULL,NULL,56,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.4,54,128,2.2,Slave Pens,Mennu the Betrayer,1,NA,-214.08,120.8414,330.97,601.6,397.2,24.392,56.868,0,0,4.2,61.32,157.17303,316.78224,39.676,75.18,55.627,73.875,132.76,89.4752,7,60.06,329.6996,6.72,-214.08,NULL,NULL
24378,Main Hand,Weapon,Mace,Coilfang Hammer of Renewal,91,62,Rare,https://tbc.wowhead.com/item=24378,NA,115.3563,330.4,653.3,402.4,149.668,2.126,0,0,113.5,9.02,156.793385,301.45883,10.914,6.89,3.843,6.871,88.77,82.6,112.5,3.77,303.5022,112.24,10,13,NULL,NULL,12,NULL,NULL,NULL,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.3,59,139,2.4,Slave Pens,Rokmar the Crackler,1,NA,-244.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24384,Main Hand,Weapon,Mace,Diamond-Core Sledgemace,88,61,Rare,https://tbc.wowhead.com/item=24384,NA,117.1012,329.6,676.8,404.6,36.827,51.868,0,0,6.7,59.22,156.41374,306.66572,37.611,69.13,52.31,69.464,126.18,88.4792,10.75,55.71,325.9188,14.22,12,14,NULL,NULL,NULL,NULL,NULL,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.2,62,144,2.5,Blood Furnace,The Maker,1,NA,-259.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24453,Main Hand,Weapon,Dagger,Zangartooth Shortblade,94,63,Rare,https://tbc.wowhead.com/item=24453,NA,118.6323,330.4,413.6,375.4,23.992,71.0984,0,0,4.2,80.72,156.793385,310.25753,45.389,99.23,77.579,98.131,134.27,89.8712,7,69.14,342.7252,6.72,13,14,NULL,NULL,NULL,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.3,36,88,1.5,The Underbog,Swamplord Musel'ek,1,NA,-109.36,118.6323,330.124,413.6,375.4,23.992,61.868,0,0,4.2,66.32,156.793385,310.25753,42.461,81.23,60.179,79.651,134.27,89.8712,7,65.06,331.2892,6.72,-109.36,NULL,NULL
25536,Main Hand,Weapon,Mace,Sporeggar Smasher,94,0,Rare,https://tbc.wowhead.com/item=25536,NA,123.6114,331.2,578.1,394.2,104.74,2.064,0,0,68.2,8.64,157.17303,325.58094,10.308,6.36,3.714,6.93,96.06,82.8,67,3.48,304.1376,66.76,18,12,NULL,NULL,12,NULL,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.4,51,123,2.1,NA,Fhwoor Smash!,1,NA,-199.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25759,Main Hand,Weapon,Mace,Mogor's Anointing Club,103,0,Rare,https://tbc.wowhead.com/item=25759,NA,124.1012,329.6,592.2,392.6,196.699,0.806,0,0,166.4,7.84,156.41374,327.19602,8.598,6.89,5.344,9.174,96.68,82.4,170.25,4.42,302.1598,173.74,19,13,NULL,NULL,NULL,NULL,NULL,NULL,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.2,47,126,2.1,NA,NA,1,NA,-199.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25774,Main Hand,Weapon,Dagger,Azure Lightblade,100,0,Rare,https://tbc.wowhead.com/item=25774,NA,123.3563,330.4,376,375.4,188.268,2.126,0,0,150.5,9.02,156.793385,324.92203,10.914,6.89,3.995,7.407,95.97,82.6,149.5,3.77,303.5022,149.24,18,13,NULL,NULL,12,NULL,NULL,NULL,143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.3,44,80,1.5,NA,Wanted: Durn the Hungerer,1,NA,-109.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25836,Main Hand,Weapon,Mace,Preserver's Cudgel,91,62,Rare,https://tbc.wowhead.com/item=25836,NA,121.6114,331.2,681.5,406.2,138.043,0.682,0,0,110.8,7.08,157.17303,319.71514,7.386,5.83,4.725,8.019,94.16,82.8,114.25,3.84,303.4306,117.78,16,11,NULL,NULL,NULL,NULL,NULL,NULL,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.4,62,145,2.5,Fedryen Swiftspear,NA,1,NA,-259.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25943,Main Hand,Weapon,Fist,Creepjacker,97,64,Rare,https://tbc.wowhead.com/item=25943,NA,174.0143,491.086,946.11,594.76,2.6,0,48.15,49.45,0,0,275.333035,474.90983,0,0,0.247,0.871,126.1,132.9458,0,0,473.1802,0,13,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,58.3,106,197,2.6,Mana-Tombs,Pandemonius,1,NA,-176.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27426,Main Hand,Weapon,Mace,Northshire Battlemace,103,66,Rare,https://tbc.wowhead.com/item=27426,NA,120.8461,328.8,761.4,409.8,200.155,0.93,0,0,168,8.6,156.034095,317.73841,9.81,7.95,5.849,9.927,93.99,82.2,172.25,5,301.6194,175.7,16,15,NULL,NULL,NULL,NULL,NULL,NULL,161,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.1,60,162,2.7,Old Hillsbrad Foothills,Captain Skarloc,1,NA,-289.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27431,Main Hand,Weapon,Dagger,Time-Shifted Dagger,103,66,Rare,https://tbc.wowhead.com/item=27431,NA,120.9315,332,484.1,383,38.452,88.2635,0,0,4.5,98.5,157.552675,317.44115,61.388,123.098,90.681,118.523,153.35,93.132,14.39,99.49,347.023,15.78,15,15,NULL,NULL,NULL,NULL,NULL,85,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.5,38,103,1.7,Old Hillsbrad Foothills,Epoch Hunter,1,NA,-138.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27512,Main Hand,Weapon,Sword,The Willbreaker,115,70,Rare,https://tbc.wowhead.com/item=27512,NA,119.9311,328.8,531.1,382.8,40.78,124.9195,0,0,4.2,136.52,156.034095,314.80551,82.358,169.912,125.956,163.642,177.69,96.6232,16.01,138.32,361.6464,17.94,15,14,NULL,NULL,NULL,NULL,NULL,121,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.1,35,113,1.8,Blood Furnace,Keli'dan the Breaker,1,NA,-154.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27533,Main Hand,Weapon,Fist,Demonblood Eviscerator,115,70,Rare,https://tbc.wowhead.com/item=27533,NA,224.7897,606.896,1172.27,724.65,3.2,0,28,28,0,0,351.375465,650.07547,0,0,0.304,1.072,155.71,176.6834,0,0,600.4868,0,16,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,71.7,130,243,2.6,Shattered Halls,Warchief Kargath Bladefist,1,NA,-116.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27538,Main Hand,Weapon,Mace,Lightsworn Hammer,115,70,Rare,https://tbc.wowhead.com/item=27538,NA,116.8461,328.8,531.1,382.8,267.064,0.682,0,0,234.3,8.82,156.034095,306.00681,7.818,5.83,5.447,8.771,89.99,82.2,238.5,4.23,301.2394,244.28,12,11,NULL,NULL,NULL,NULL,NULL,NULL,227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.1,35,113,1.8,Shattered Halls,Warchief Kargath Bladefist,1,NA,-154.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27543,Main Hand,Weapon,Dagger,Starlight Dagger,115,70,Rare,https://tbc.wowhead.com/item=27543,NA,121.7447,333.6,446.5,378.6,25.92,134.2372,0,0,4.5,145.9,158.311965,318.75897,80.391,178.36,138.778,175.822,178.93,97.8232,7.5,130.79,377.3938,7.2,15,15,NULL,NULL,NULL,NULL,NULL,121,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.7,30,95,1.5,Slave Pens,Mennu the Betrayer,1,NA,-108.24,121.7447,333.232,446.5,378.6,25.92,121.93,0,0,4.5,126.7,158.311965,318.75897,76.487,154.36,115.578,151.182,178.93,97.8232,7.5,125.35,362.1458,7.2,-108.24,NULL,NULL
27741,Main Hand,Weapon,Mace,Bleeding Hollow Warhammer,115,70,Rare,https://tbc.wowhead.com/item=27741,NA,117.4363,330.4,709.7,402.4,43.8,124.926,0,0,5.1,137.06,156.793385,307.32463,83.795,170.556,126.115,164.111,175.67,97.0232,16.98,138.41,363.1582,18.72,12,17,NULL,NULL,NULL,NULL,NULL,121,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.3,47,151,2.4,Slave Pens,Quagmirran,1,NA,-244.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27846,Main Hand,Weapon,Fist,Claw of the Watcher,115,70,Rare,https://tbc.wowhead.com/item=27846,NA,217.6076,610.748,1128.9,731.16,32.536,18,72.7,89.48,36,18,370.06582,583.80066,10.026,21.78,18.652,22.708,155.48,171.0048,36,14,593.4344,32,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,Blue,Red,NA,NULL,71.6,125,233,2.5,Auchenai Crypts,Shirrak the Dead Watcher,1,NA,-91.1600000000001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27868,Main Hand,Weapon,Dagger,Runesong Dagger,112,68,Rare,https://tbc.wowhead.com/item=27868,NA,113.3747,317.6,427.7,362.6,38.488,125.272,0,0,3.3,137.18,150.719065,296.78207,81.683,171.16,126.937,164.293,172.03,93.8232,16.1,139.79,351.8378,18.48,12,11,NULL,NULL,NULL,NULL,NULL,121,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,39.7,28,91,1.5,Shattered Halls,Warbringer O'mrogg,1,NA,-113.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27876,Main Hand,Weapon,Mace,Will of the Fallen Exarch,115,70,Rare,https://tbc.wowhead.com/item=27876,NA,123.8461,328.8,531.1,382.8,230.8,0,0,0,227,0,156.034095,326.53711,0,0,0.361,1.273,95.19,82.2,227,0,300.1944,227,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.1,35,113,1.8,Auchenai Crypts,Avatar of the Martyred,1,NA,-154.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27899,Main Hand,Weapon,Sword,Mana Wrath,115,70,Rare,https://tbc.wowhead.com/item=27899,NA,128.8461,328.8,531.1,382.8,32.304,127.116,0,0,5.4,132.84,156.034095,341.20161,81.09,162,121.182,159.126,189.69,97.2192,9,131.22,360.3684,8.64,24,18,NULL,NULL,NULL,NULL,NULL,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.1,35,113,1.8,Mechanar,Pathaleon the Calculator,1,NA,-154.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27905,Main Hand,Weapon,Sword,Greatsword of Horrid Dreams,115,70,Rare,https://tbc.wowhead.com/item=27905,NA,120.1681,328.8,531.1,382.8,24.392,141.6368,0,0,4.2,152.12,156.034095,314.80551,84.31,185.72,143.859,182.903,183.99,97.696,7,138.82,375.1864,6.72,15,14,NULL,NULL,NULL,NULL,NULL,130,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.1,35,113,1.8,Shadow Labyrinth,Murmur,1,NA,-154.92,120.1681,328.478,531.1,382.8,24.392,130.868,0,0,4.2,135.32,156.034095,314.80551,80.894,164.72,123.559,161.343,183.99,97.696,7,134.06,361.8444,6.72,-154.92,NULL,NULL
27937,Main Hand,Weapon,Mace,Sky Breaker,115,68,Rare,https://tbc.wowhead.com/item=27937,NA,117.8461,328.8,531.1,382.8,33.16,133.24,0,0,6,139.6,156.034095,308.93971,85.644,170.32,127.043,166.435,184.19,97.9344,10,137.8,363.3424,9.6,13,20,NULL,NULL,NULL,NULL,NULL,132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.1,35,113,1.8,Auchenai Crypts,Avatar of the Martyred,1,NA,-154.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28216,Main Hand,Weapon,Mace,Dathrohan's Ceremonial Hammer,115,70,Rare,https://tbc.wowhead.com/item=28216,NA,117.8461,328.8,531.1,382.8,283.698,2.848,0,0,236.6,11.44,156.034095,308.93971,13.038,7.42,4.181,7.549,91.19,82.2,234,4.06,302.4424,233.72,13,14,NULL,NULL,18,NULL,NULL,NULL,227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.1,35,113,1.8,Old Hillsbrad Foothills,Captain Skarloc,1,NA,-154.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28257,Main Hand,Weapon,Mace,Hammer of the Penitent,115,70,Rare,https://tbc.wowhead.com/item=28257,NA,104.8461,328.8,531.1,382.8,290.711,2.422,0,0,238.7,13.98,156.034095,270.81201,13.849,8.48,6.092,9.672,79.69,82.2,239.5,5.42,302.3774,243.68,NULL,16,NULL,NULL,13,NULL,NULL,NULL,227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,41.1,35,113,1.8,Mechanar,Mechano-Lord Capacitus,1,NA,-154.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
